MES	CAMPANHA	LINK_PLANILHA
	FUNIL DE E-MAILS MP PA	https://docs.google.com/spreadsheets/d/12mItT9AYji8TqQfaGD0W2QoCunFMFo7pvzkEzOYRB4s/edit?usp=sharing
	FUNIL CARRINHO ABANDONADO	https://docs.google.com/spreadsheets/d/1Vdq9jxuhvZMOQxa0x7VOm0_2YYX7lLJgNlvsfwRigeY/edit?usp=sharing
	A Jornada do Escriturário BRB | Descubra como ganhar R$ 4.000,00/mês no Banco de Brasília tendo apenas nível médio	https://docs.google.com/spreadsheets/d/1RPtGZ26wH-bdb-SoiHSbJytMmpmh5dkX4d5oKQJxECk/edit?usp=sharing
	MasterClass Área Fiscal | Dispute em alto nível os 7 maiores concursos fiscais de 2022 com salários de até R$ 27 mil	https://docs.google.com/spreadsheets/d/1lY-zwRkhBcwjEh6WhnLzJB4fj4Lpssnfr6fyfPyNZJg/edit?usp=sharing
	INSS em 90 minutos | 3 coisas que você precisa saber antes do edital sair	https://docs.google.com/spreadsheets/d/1gLtKFolA9UQRig1ylQ3jNDiBYMCLKDSQYq-jbaV5KzM/edit?usp=sharing
	Ações de vendas para a Receita Federal	https://docs.google.com/spreadsheets/d/1cnPtziMH253XNeorSGTauQXINav4k0Svf4-yBi__7-o/edit
	Semana nacional dos concursos públicos | O fim da concorrência nos concursos públicos	https://docs.google.com/spreadsheets/d/1d6XNubJM93krlctYXpk-Bg_VVzJMGPZTYQRbi0E5OXY/edit
	Gabarito SEFAZ MG | O passo a passo para conquistar uma das 431 vagas e ganhar R$ 25 mil/mês	https://docs.google.com/spreadsheets/d/1DgGiUfp__5bXo7vTdwgpAk7QvKH31unlemrGzRWm5Pw/edit?usp=sharing
	BRB: Jornada da Aprovação em 120 dias I A trilha para conquistar uma das 150 vagas e ganhar 5 mil/mês sem ter faculdade	https://docs.google.com/spreadsheets/d/1yZtKCTAaCks0Kb5HjdgCX_1EGqcBAzscuweIVuzmQ1o/edit
	Concurso INSS | O Ultimato - Saiba como ser aprovado e ganhar R$ 6 mil/mês no melhor concurso de nível médio	https://docs.google.com/spreadsheets/d/1HiuybOLmjQNuKdMBSUgfV-afwBK6HiWk9j-Qer9wZtg/edit?usp=sharing
	Senado Federal: A via alternativa | Por que você não pode ignorar esta oportunidade de ganhar até R$ 33 mil/mês	https://docs.google.com/spreadsheets/d/1GwuMOm82CKmcFYwEGAwL_RfGAIT8dZCH4E2RTXUFTVw/edit?usp=sharing
	Receita Federal Experience | Um acompanhamento de 30 dias que fará você 'furar a fila' da aprovação	https://docs.google.com/spreadsheets/d/1Wl779HcLq0jllLSPVaWPuedouGXzTfmoyVbFLbwqYjA/edit?usp=sharing
	Missão Final CFC | A última chance para ser aprovado ainda em 2022	https://docs.google.com/spreadsheets/d/1IO2Fm_UGkwHOqjhDZ8s-ySJq3QjHRvAn3n9Q8zSp_cY/edit?usp=sharing
	Projeto R$ 9 mil sem faculdade | Conquistando uma das mais de 5 mil vagas para nível médio em 2022	https://docs.google.com/spreadsheets/d/1rwtHfWQ14rohSQSY1ajdlUc5cVYylM0Hdy9ZX5Hodek/edit?usp=sharing
	TRT MG em 70 dias | A reta final turbinada para conquistar até R$ 14,2 mil por mês	https://docs.google.com/spreadsheets/d/1FwPkoxNpGUQkZpK-3wgfmqGg19tnMrThMU2UPEwljyQ/edit
	Semana da sua Independência Financeira I 61 mil vagas abertas para ganhar até R$ 21 mil por mês	https://docs.google.com/spreadsheets/d/1V0gVRprkVnkjAYY9X90bYAGXcFszujgjwC7M8WXvhCs/edit?usp=sharing
	Sinal Verde INSS | Largue na frente no concurso mais esperado com 1.000 vagas e salários de R$ 6 mil/mês	https://docs.google.com/spreadsheets/d/1kulEMVqgpesPq9r42up163Jzcr5yaTRlMTaI7Xr3jZg/edit?usp=sharing
	Detran DF de 0 a 100 | Largue na frente no pós-edital com 366 vagas e salários de até R$ 6,4 mil	https://docs.google.com/spreadsheets/d/18oh6IM_tt4rnkz4mbjm67Mk0oUYT6iUtdZgUOatVYWk/edit?usp=sharing
	Vaga Certa PPGG DF | Garanta até R$ 7,7 mil por mês com o método pós-edital que aprovou 85% no TCU	https://docs.google.com/spreadsheets/d/1QKDbInYHGIHO4VrsWV3rPavm49K4F0R8XYYWSYiT_7w/edit?usp=sharing
	Funil upsell Assinatura Premium	https://docs.google.com/spreadsheets/d/1nXeFgjwIAkazoMQULRv4y-meoytDAy00BFy70o03jWA/edit
	A Última Jornada do INSS | 70 dias de treinamento para disputar as 1.000 vagas de nível médio com salários de R$ 6 mil	https://docs.google.com/spreadsheets/d/1_AamWM4oo3M4UtPNgCF1ZGTSHtKaIOtUGE9hOfJSFl0/edit?usp=sharing
	Black Friday Estratégia Concursos |  O menor preço do ano para estudar com o líder absoluto em aprovações.	https://docs.google.com/spreadsheets/d/1FSiutVEguraBZ1fqjW80XySZbR74nLsuYJb_dPGagPg/edit
	MP MG Imersão em 60 dias I Para você não ficar de fora das 101 vagas e garantir até 6.2 mil/ mês	https://docs.google.com/spreadsheets/d/1LYV6i6rrdSe8vYLuD3JFyR_NsUUbdEC9krnnWyyihkE/edit?usp=sharing
	Turma de Elite PM SP I Saia do zero e conquiste uma das 2700 vagas em apenas 3 meses	https://docs.google.com/spreadsheets/d/1AQxZV8D4t0XOOK3SiPcXQNVit-v1hV2yW5bVY0V_SYY/edit?usp=sharing
	Imersão PF e PRF | O treinamento especial com quem aprovou 977 na Polícia Federal e 952 a Polícia Rodoviária Federal	https://docs.google.com/spreadsheets/d/1E4hGiG4kOsWOtZ1ohlM2OBJiPj-LJypJHNlp6yn2DSE/edit?usp=sharing
	2023: O ano da sua aprovação |  Mais de 55 mil vagas em concursos para ter estabilidade e salário de até R$ 28 mil	https://docs.google.com/spreadsheets/d/1iiYPwKawTIFMIDiKisFVsrXq3JUzmD94vVv1p5ka5wc/edit
	Auditor Fiscal em 2023 | 12 concursos e mais de 1.100 vagas com salários de até 35 mil	https://docs.google.com/spreadsheets/d/1cVl1EMXmSTzjYETrDT6Z2T5JfJmOpH4Xge4trg5_LYU/edit?usp=sharing
	Projeto Banco do Brasil | Saia do zero e conquiste  uma das 6.000 vagas tendo apenas nível médio	https://docs.google.com/spreadsheets/d/1z-qo8FmcwmzzfqvdcLowsMssjUU92wrHwiPvNjDUtmk/edit?usp=sharing
	FUNIL BANCO DO BRASIL	https://docs.google.com/spreadsheets/d/1iRm8_g8VFhXvEH0IOd7vwkcE_Fh0cHK44UF9c_E3U1w/edit?usp=sharing
	Projeto 39K Sefaz MT |  Como conquistar a sua vaga no concurso que paga meio milhão por ano	https://docs.google.com/spreadsheets/d/18WAm7GoABqeub_D6P_shJO-BVKVSgT2xmEHE1lxTukU/edit?usp=sharing
	FUNIL PACOTEIROS	https://docs.google.com/spreadsheets/d/12SEk4MAS6roUnxI_YJeaAoWlrNcHd_3Hl_aY7J1L-9k/edit
	Mapa da Aprovação PETROBRAS | O plano imbatível para ganhar R$ 5 mil + dezenas de benefícios ainda em 2023	https://docs.google.com/spreadsheets/d/1S-izqcJC-B6Nh2JpBXYsJuutrmQw7PcLYqFNSQEDzas/edit?usp=sharing
	Assinatura vitalícia | Nunca mais gaste um centavo sequer para ser aprovado em concursos	https://docs.google.com/spreadsheets/d/1ZpSK1pvaiaIiyytRfum_XF0em2uhDI9miLW3ZlDskWw/edit
	Código da Aprovação SERPRO |  Como garantir uma das 602 vagas com remunerações acima de R$ 10 mil em 75 dias	https://docs.google.com/spreadsheets/d/1djj3cd1rB72FkCilUNkZD1eqRwW9A31f9_N_kDhs4vE/edit
	Mapa da Aprovação AFT 2023 | O que fazer para se tornar Auditor Fiscal do Trabalho e ganhar R$ 23,5 mil por mês	https://docs.google.com/spreadsheets/d/1il96-RpjsuZwifVQWiq9JsdWNo7lWSgpns8YRDJPeSk/edit?usp=sharing
	Conexão ISS RJ - ISS SP | O plano para dobrar suas chances de se tornar Auditor e ganhar mais de R$ 20 mil/mês em 2023	https://docs.google.com/spreadsheets/d/1h01ClhBOR4gvez6B4bvC8iCohpUJ3Qk9FEG9AAnuNUA/edit?usp=sharing
	Mapa da Aprovação TSE | As melhores estratégias para sair do zero e conquistar até R$ 14,4 mil/mês	https://docs.google.com/spreadsheets/d/1IzOj9ucNhH1EklEZ5Uy5mJai67EADYiX9eW07Tb0UIU/edit?usp=sharing
	Enfermagem do Zero para Concursos com Ligia Carvalheiro	https://docs.google.com/spreadsheets/d/1PF4mQUKUgGi77pDsn4Ozip6T7PgLvsHG5QQrIBoMkAs/edit
	FUNIL ISS RJ	https://docs.google.com/spreadsheets/d/1ZaWMDFzbrjq3inmQgcsIaSyL0dVbMQzvdIctOLDI5Ws/edit
	FUNIL PMERJ	https://docs.google.com/spreadsheets/d/1JhtdVTDe3jeiV7kJP-DH08NvCjFONEQ2RpCl0CUx5XQ/edit
	Turma de Elite PF e PRF | Aproveite o novo pedido de 5.855 mil vagas e comece agora a sua preparação com o curso dos 1ºs colocados	https://docs.google.com/spreadsheets/d/17AsvD0LKzog3RZ3HN8UzwzJQDLq5MS6H1j-RzBLUXXo/edit
	ISS SP em 90 dias | O guia de reta final para conquistar uma das 60 vagas e ganhar R$ 26 mil/mês	https://docs.google.com/spreadsheets/d/1r0pOlP3rPxD9Rn4bEDpvEeit55xgkX3F_dc9GG3b_Ec/edit
	Projeto TSE Unificado | O guia definitivo para você conquistar até R$ 14,4 mil/mês ainda em 2023	https://docs.google.com/spreadsheets/d/17SkKRE-X_9Hq8sS_Gjs8tUctQGBObOsP15hFSJkGsgQ/edit
	AFT 2023: o Gigante Fiscal | Preprare-se para o maior concurso da história do órgão com 900 vagas e salários de R$ 23,5 mil	https://docs.google.com/spreadsheets/d/14qhCzwhKqVQ5e1r7L0-LzXAeRQoY9Yry3rVF6VxIq7g/edit
	FUNIL TJ SP OFICIAL DE JUSTIÇA	https://www.google.com/url?q=https://docs.google.com/spreadsheets/d/1DiP3CXC_C2zxbh2q4KFFzzexCqY_7HTliFrkczFf830/edit?usp%3Dsharing&sa=D&source=calendar&ust=1689290053557276&usg=AOvVaw3Akvd6MbsDSRhiD8W_trMH
